iter	Passed	Remaining
0	61	61455
1	61	30935
2	62	20752
3	62	15656
4	63	12610
5	63	10571
6	64	9108
7	64	8024
8	65	7179
9	65	6503
10	66	5948
11	66	5484
12	67	5094
13	67	4758
14	68	4465
15	68	4211
16	68	3984
17	69	3783
18	69	3603
19	70	3441
20	70	3295
21	71	3161
22	72	3068
23	72	2957
24	73	2853
25	73	2757
26	74	2671
27	74	2589
28	75	2515
29	75	2444
30	76	2376
31	76	2312
32	76	2253
33	77	2197
34	77	2146
35	78	2104
36	79	2059
37	80	2026
38	80	1984
39	80	1943
40	81	1905
41	81	1869
42	82	1833
43	82	1800
44	83	1769
45	83	1738
46	84	1708
47	84	1680
48	85	1652
49	85	1626
50	86	1602
51	86	1578
52	87	1554
53	87	1531
54	87	1511
55	88	1490
56	88	1470
57	89	1450
58	89	1433
59	90	1414
60	90	1395
61	91	1377
62	91	1360
63	93	1363
64	95	1366
65	95	1350
66	95	1335
67	96	1319
68	96	1304
69	97	1297
70	98	1291
71	99	1283
72	100	1275
73	101	1266
74	102	1258
75	102	1249
76	103	1242
77	104	1234
78	105	1227
79	106	1219
80	106	1212
81	107	1206
82	108	1200
83	109	1193
84	109	1180
85	110	1177
86	111	1166
87	111	1156
88	113	1157
89	113	1148
90	113	1138
91	114	1129
92	114	1120
93	115	1111
94	115	1103
95	116	1094
96	116	1086
97	117	1078
98	117	1070
99	118	1062
100	118	1056
101	118	1046
102	119	1040
103	119	1033
104	120	1026
105	120	1019
106	121	1012
107	121	1006
108	122	999
109	122	993
110	123	986
111	123	980
112	124	975
113	124	969
114	125	963
115	125	957
116	126	952
117	126	946
118	127	940
119	127	935
120	128	930
121	128	924
122	128	917
123	129	912
124	130	910
125	130	905
126	131	900
127	131	894
128	131	889
129	132	884
130	132	880
131	133	877
132	134	873
133	134	869
134	135	865
135	135	861
136	136	857
137	136	852
138	136	847
139	137	843
140	137	839
141	139	842
142	139	838
143	140	838
144	141	834
145	142	833
146	143	830
147	143	827
148	144	823
149	144	820
150	145	816
151	145	812
152	146	808
153	147	808
154	147	805
155	148	802
156	149	800
157	149	797
158	150	793
159	150	790
160	151	787
161	151	784
162	152	780
163	152	777
164	153	775
165	153	771
166	154	769
167	154	766
168	155	764
169	155	761
170	156	758
171	156	755
172	157	752
173	157	750
174	158	747
175	159	744
176	160	747
177	161	744
178	161	742
179	162	740
180	162	736
181	163	733
182	163	730
183	164	727
184	164	724
185	165	723
186	165	720
187	166	718
188	166	716
189	168	716
190	168	713
191	168	711
192	169	708
193	170	706
194	170	704
195	171	701
196	171	699
197	172	696
198	172	694
199	173	694
200	174	692
201	174	691
202	175	689
203	175	686
204	176	684
205	177	682
206	177	680
207	178	677
208	178	675
209	180	677
210	180	675
211	181	673
212	181	671
213	182	668
214	182	666
215	183	664
216	183	662
217	184	660
218	184	658
219	185	656
220	186	656
221	186	654
222	187	652
223	187	650
224	188	648
225	188	646
226	189	644
227	189	642
228	190	640
229	190	638
230	191	636
231	191	634
232	192	632
233	192	630
234	193	628
235	193	626
236	193	624
237	194	622
238	194	620
239	195	618
240	195	616
241	196	614
242	197	616
243	198	614
244	198	612
245	199	610
246	199	609
247	200	607
248	200	605
249	201	604
250	201	602
251	202	600
252	203	599
253	203	597
254	204	596
255	204	595
256	205	593
257	205	592
258	206	590
259	206	588
260	207	586
261	207	584
262	208	583
263	208	581
264	208	579
265	209	578
266	209	576
267	210	574
268	211	574
269	211	572
270	212	571
271	213	570
272	213	568
273	214	567
274	214	566
275	215	565
276	215	563
277	216	561
278	216	560
279	217	559
280	217	557
281	218	555
282	218	554
283	219	552
284	219	551
285	220	549
286	220	548
287	222	549
288	222	548
289	223	546
290	224	547
291	225	545
292	225	544
293	226	542
294	227	544
295	228	542
296	229	542
297	229	541
298	230	539
299	230	538
300	231	537
301	231	535
302	232	534
303	233	533
304	233	531
305	233	530
306	235	530
307	235	529
308	235	527
309	236	526
310	236	524
311	237	523
312	237	522
313	238	520
314	238	519
315	240	519
316	241	521
317	242	520
318	243	519
319	243	517
320	244	516
321	244	515
322	245	514
323	245	512
324	246	511
325	246	510
326	247	508
327	247	507
328	247	505
329	248	504
330	248	502
331	249	501
332	249	500
333	250	498
334	250	497
335	251	496
336	251	494
337	252	493
338	252	492
339	253	491
340	253	490
341	254	488
342	254	487
343	254	486
344	255	484
345	255	483
346	256	482
347	257	482
348	257	480
349	258	479
350	258	478
351	259	477
352	259	475
353	260	474
354	260	473
355	261	472
356	261	470
357	261	469
358	262	468
359	262	467
360	263	466
361	263	464
362	264	463
363	264	462
364	265	461
365	265	459
366	266	458
367	266	457
368	266	456
369	267	455
370	267	454
371	268	452
372	268	451
373	269	450
374	269	449
375	270	448
376	270	447
377	271	446
378	271	444
379	271	443
380	272	442
381	272	441
382	274	441
383	274	440
384	274	439
385	275	438
386	275	437
387	276	435
388	276	434
389	277	433
390	277	432
391	278	432
392	279	431
393	279	430
394	280	429
395	280	428
396	281	427
397	281	425
398	282	424
399	282	423
400	282	422
401	283	421
402	283	420
403	284	419
404	284	418
405	285	417
406	285	416
407	286	415
