iter	Passed	Remaining
0	3	3699
1	4	2134
2	4	1620
3	5	1327
4	5	1176
5	6	1067
6	6	988
7	7	930
8	7	878
9	8	835
10	8	804
11	9	772
12	9	747
13	10	727
14	10	711
15	11	695
16	11	683
17	12	672
18	13	683
19	14	701
20	15	701
21	15	690
22	15	679
23	16	667
24	16	662
25	17	655
26	17	645
27	18	636
28	18	630
29	20	663
30	21	658
31	21	650
32	21	642
33	22	636
34	23	650
35	24	649
36	24	648
37	25	638
38	25	632
39	26	624
40	26	618
41	26	611
42	27	610
43	27	608
44	28	603
45	29	602
46	29	599
47	30	597
48	30	593
49	31	589
50	31	585
51	31	583
52	32	579
53	32	576
54	33	573
55	33	569
56	34	566
57	34	564
58	35	563
59	35	561
60	36	559
61	36	557
62	37	556
63	38	555
64	38	554
65	39	552
66	39	549
67	39	547
68	40	545
69	40	542
70	42	550
71	42	551
72	43	549
73	43	547
74	44	545
75	44	545
76	45	542
77	45	540
78	46	538
79	46	536
80	47	533
81	47	531
82	47	527
83	48	525
84	48	524
85	49	522
86	49	520
87	50	518
88	50	516
89	50	515
90	51	513
91	51	511
92	52	509
93	52	507
94	53	505
95	53	503
96	54	502
97	54	501
98	54	500
99	55	502
100	56	502
101	57	502
102	57	501
103	58	500
104	58	499
105	59	498
106	59	497
107	60	495
108	60	494
109	60	493
110	61	492
111	61	490
112	62	489
113	62	488
114	63	487
115	63	486
116	64	484
117	64	482
118	65	481
119	65	480
120	65	479
121	66	477
122	66	476
123	67	475
124	67	474
125	68	474
126	68	472
127	69	471
128	69	470
129	70	470
130	73	489
131	78	517
132	79	516
133	79	515
134	80	514
135	80	512
136	81	511
137	81	510
138	82	509
139	82	508
140	83	507
141	83	505
142	84	503
143	84	502
144	85	501
145	85	500
146	86	500
147	86	498
148	87	497
149	87	496
150	88	495
151	88	494
152	89	493
153	89	492
154	90	490
155	90	489
156	90	488
157	91	487
158	91	486
159	92	484
160	92	482
161	95	491
162	95	490
163	95	489
164	96	488
165	96	487
166	97	486
167	98	486
168	98	485
169	99	483
170	99	483
171	100	482
172	100	480
173	101	479
174	101	478
175	102	477
176	102	476
177	102	475
178	103	474
179	103	473
180	104	472
181	104	471
182	105	470
183	105	469
184	106	468
185	107	468
186	107	467
187	108	466
188	108	465
189	108	464
190	109	463
191	109	462
192	110	461
193	110	460
194	111	459
195	111	458
196	112	457
197	115	468
198	116	468
199	116	466
200	117	465
201	117	464
202	118	463
203	118	462
204	119	462
205	119	461
206	120	460
207	120	459
208	121	458
209	121	457
210	122	457
211	122	456
212	123	455
213	123	454
214	124	453
215	124	452
216	125	451
217	125	450
218	126	450
219	126	449
220	127	448
221	127	448
222	129	451
223	130	451
224	130	450
225	131	449
226	131	448
227	132	447
228	132	446
229	133	445
230	133	444
231	134	443
232	134	442
233	135	442
234	135	441
235	135	440
236	136	439
237	136	438
238	137	437
239	137	436
240	138	435
241	138	434
242	139	433
243	139	432
244	140	431
245	140	431
246	141	430
247	141	429
248	142	429
249	142	428
250	143	427
251	144	427
252	144	426
253	145	425
254	145	425
255	145	424
256	146	423
257	146	422
258	147	421
259	147	420
260	148	420
261	148	419
262	149	418
263	149	417
264	150	416
265	150	416
266	151	415
267	151	414
268	152	413
269	152	412
270	153	411
271	153	410
272	154	410
273	154	409
274	154	408
275	155	407
276	155	406
277	156	406
278	157	406
279	157	405
280	158	405
281	158	404
282	159	403
283	159	403
284	160	402
285	160	401
286	161	400
287	161	399
288	162	399
289	162	398
290	163	397
291	163	396
292	164	396
293	164	395
294	165	394
295	165	393
296	166	393
297	166	392
298	166	391
299	167	390
300	167	390
301	168	389
302	169	389
303	169	388
304	170	387
305	170	387
306	171	388
307	172	387
308	172	386
309	173	385
310	173	385
311	174	384
312	174	383
313	175	383
314	175	382
315	176	381
316	176	380
317	177	380
318	177	379
319	178	378
320	178	377
321	179	376
322	179	376
323	179	375
324	180	374
325	180	374
326	181	373
327	181	372
328	182	371
329	182	371
330	183	370
331	184	372
332	185	371
333	186	370
334	186	370
335	186	369
336	187	368
337	187	368
338	188	367
339	189	367
340	189	366
341	190	365
342	190	365
343	191	364
344	191	363
345	192	363
346	192	362
347	192	361
348	193	360
349	193	360
350	194	359
351	194	358
352	195	357
353	195	357
354	196	356
355	196	355
356	197	355
357	197	354
358	198	353
359	198	353
360	199	353
361	200	352
362	200	351
363	201	351
364	201	350
365	202	349
366	202	349
367	202	348
368	203	348
369	204	348
370	205	348
371	205	347
372	206	346
373	206	346
374	207	345
375	207	344
376	208	343
